file_name,text
page001_line001.png,र्द्ध्यो व्वि॒ ष्णुः प रा र्द्ध्यं स्त त्स॒ र्व्वा श्चै॒ वै त॒ द्दे व॒ ताः प रि गृ॒ ह्य
page001_line002.png,स॒ र्व्वं च य ज्ञं॒ प रि गृ॒ ह्य सू या ऽ इ॒ ति त॒ स्मा दा ग्ना वै
page001_line003.png,ष्ण व ऽ ए॒ का द श क पा लः पु रो डा॒ शो भ व ति त॒ स्य हि॒
page001_line004.png,र ण्यं द॒ क्षि णा ग्ने यो वा॒ ऽ ए ष॒ य ज्ञो॒ भ व त्य ग्ने रे॒ तो हि॒
page001_line005.png,र ण्यं यो वै वि॒ ष्णुः स॒ य॒ ज्ञो ग्नि॒ रु वै॒ य ज्ञ॒ ऽ ए व त॒ दु त॒
page001_line006.png,दा ग्ने य॒ मे व त॒ स्मा द्धि॒ र ण्यं द॒ क्षि णा॒।६। अ॒ थ श्वो॒ भू
page001_line007.png,ते॒। अ ग्नी षो मी॒ य मे॒ का द श क पा लं पु रो डा॒ शं नि॒ र्व्व
page001_line008.png,प ति ते॒ न य थे॒ ष्ट्यै वं॒ य ज त ऽ ए ते॒ न वा इं॒ द्रो व्वृ त्र॒ म ह
page001_line009.png,न्ने ते॒ नो ऽ ए व व्य॒ ज य त या॒ स्ये यं व्वि॒ जि ति स्तां त॒ थो ऽ ए॒
page001_line010.png,वै ष॒ ऽ ए ते॒ न पा प्मा॒ नं द्वि ष॒ न्तं भ्रा॒ तृ व्य ᳰ हं ति त॒ थो ऽ
page001_line011.png,ए व व्वि॒ ज य ते व्वि॒ जि ते॒ भ ये ना ष्ट्रे॒ सू या ऽ इ॒ ति त॒ स्मा द
page001_line012.png,ग्नी षो मी॒ य ऽ ए॒ का द श क पा लः पु रो डा॒ शो भ व ति
page003_line001.png,अ॒ नु म त्यै ह वि॒ र ष्टा॒ क पा ल म्पु रो डा॒ शं नि॒ र्व्व प ति स ये॒
page003_line002.png,ज घ॒ ने न श॒ म्यां पि ष्य॒ मा णा ना म व शी यं॒ ते पि ष्टा॒ नि
page003_line003.png,वा त ण्डु ला॒ वा तां॒ त्स्रु वे॒ सा र्ध ᳰ सं॒ व्व प त्य न्वा हा र्य प॒ च
page003_line004.png,ना दु॒ ल्मु क मा॒ द द ते ते॒ न द क्षि णा॒ य न्ति स य॒ त्र स्व॒ कृ
page003_line005.png,तं व्वे॒ रि णं व्विं द॒ ति श्व भ्र प्र द रं॒ वा। श त॒ द ग्नि॒ ᳰ स मा धा॒
page003_line006.png,य जु हो ति। ए ष॒ ते नि रृ ते भा ग स्तं॒ जु ष स्व स्वा हे॒ ती यं
page003_line007.png,वै नि॒ रृ तिः सा यं॒ पा प्म॒ ना गृ ह्णा॒ ति तं नि॒ रृ त्या गृ ह्णा ति
page003_line008.png,त द्य॒ दे॒ वा स्या ऽ अ॒ त्र नै रृ त॒ ᳰ रू पं त॒ दे॒ वै त॒ छ म य ति त॒
page003_line009.png,थो है न ᳰ सू य॒ मा नं नि॒ रृ ति र्न॒ गृ ह्णा त्य॒ थ य त्स्व॒ कृ ते
page003_line010.png,वे॒ रि णे जु हो॒ ति श्व भ्र प्र द रे॒ वै त॒ दु ह्य॒ स्यै नि॒ रृ ति गृ ही
page003_line011.png,तम्।३। अ था॒ प्र ती क्षं पु॒ न रा॒ यं ति। अ था॒ नु म त्या ऽ अ ष्टा॒ क
page003_line012.png,पा ले न पु रो डा॒ शे न प्र॒ च र ती यं वा अ॒ नु म तिः स य स्त
page004_line001.png,ते श स्त्र॒ स्य।१९। त द्धै॒ के। ऽ ए त त्कृ त्वा॒ थै त॒ त्कु र्व्वं ति त॒
page004_line002.png,दु त॒ था न॒ कु र्या दा त्मा वै॒ स्तो त्रं॒ प्र जा॒ श स्त्र॒ मे त॒ स्मा
page004_line003.png,द्ध स य॒ ज मा नं प्र॒ णा श य ति स॒ जि ह्म॒ ऽ ए ति स॒ ह्व ल
page004_line004.png,ति त॒ स्मा दे त॒ दे व॒ कृ त्वा॒ थै त॒ त्कु र्यात्।२०॥ अ थे॒ डा
page004_line005.png,मा॒ द धा ति। उ॒ प हू ता या मि॒ डा या म प॒ ऽ उ प स्पृ॒ श्य
page004_line006.png,मा हे न्द्रं ग्र॒ हं गृ ह्णा ति मा हे न्द्रं ग्र॒ हं गृ ही त्वा॒ स्तो त्र॒ मु
page004_line007.png,पा॒ क रो ति त॒ ᳬ स्तो त्रा॒ य प्र॒ मी व ति स॒ ऽ उ पा॒ व रो
page004_line008.png,ह ति सो॒ न्ते स्तो त्र॒ स्य भ॒ व त्यं॒ ते श स्त्र॒ स्य।२१। ब्रा
page004_line009.png,ह्म णं॥१॥ पू र्णा हु तिं॒ जु हो ति। स॒ र्व्वं वै॒ पू र्ण ᳰ स॒
