crop_path	page_id	page_num	line_num	label	transcription	image_path	x0	y0	x1	y1
output/crops/page001_line001.png	262534008	1	1	Sanskrit Text	र्द्ध्यो व्वि॒ ष्णुः प रा र्द्ध्यं स्त त्स॒ र्व्वा श्चै॒ वै त॒ द्दे व॒ ताः प रि गृ॒ ह्य	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	152	146	1758	292
output/crops/page001_line002.png	262534008	1	2	Sanskrit Text	स॒ र्व्वं च य ज्ञं॒ प रि गृ॒ ह्य सू या ऽ इ॒ ति त॒ स्मा दा ग्ना वै	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	150	296	1779	416
output/crops/page001_line003.png	262534008	1	3	Sanskrit Text	ष्ण व ऽ ए॒ का द श क पा लः पु रो डा॒ शो भ व ति त॒ स्य हि॒	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	242	429	1780	545
output/crops/page001_line004.png	262534008	1	4	Sanskrit Text	र ण्यं द॒ क्षि णा ग्ने यो वा॒ ऽ ए ष॒ य ज्ञो॒ भ व त्य ग्ने रे॒ तो हि॒	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	210	537	1767	672
output/crops/page001_line005.png	262534008	1	5	Sanskrit Text	र ण्यं यो वै वि॒ ष्णुः स॒ य॒ ज्ञो ग्नि॒ रु वै॒ य ज्ञ॒ ऽ ए व त॒ दु त॒	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	230	663	1760	796
output/crops/page001_line006.png	262534008	1	6	Sanskrit Text	दा ग्ने य॒ मे व त॒ स्मा द्धि॒ र ण्यं द॒ क्षि णा॒।६। अ॒ थ श्वो॒ भू	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	254	801	1878	920
output/crops/page001_line007.png	262534008	1	7	Sanskrit Text	ते॒। अ ग्नी षो मी॒ य मे॒ का द श क पा लं पु रो डा॒ शं नि॒ र्व्व	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	246	1321	1811	1447
output/crops/page001_line008.png	262534008	1	8	Sanskrit Text	प ति ते॒ न य थे॒ ष्ट्यै वं॒ य ज त ऽ ए ते॒ न वा इं॒ द्रो व्वृ त्र॒ म ह	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	258	1450	1819	1581
output/crops/page001_line009.png	262534008	1	9	Sanskrit Text	न्ने ते॒ नो ऽ ए व व्य॒ ज य त या॒ स्ये यं व्वि॒ जि ति स्तां त॒ थो ऽ ए॒	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	242	1565	1773	1688
output/crops/page001_line010.png	262534008	1	10	Sanskrit Text	वै ष॒ ऽ ए ते॒ न पा प्मा॒ नं द्वि ष॒ न्तं भ्रा॒ तृ व्य ᳰ हं ति त॒ थो ऽ	/Users/suyash/Desktop/project/experimental_results/binarized/MORPHBG_default/00000060.png	274	1690	1797	1811
